Date,Type,Subgroup,Continued claims
07/04/2020,Continued claims by age,Under 20,8962
07/11/2020,Continued claims by age,Under 20,9297
07/18/2020,Continued claims by age,Under 20,8989
07/25/2020,Continued claims by age,Under 20,8701
08/01/2020,Continued claims by age,Under 20,8024
08/08/2020,Continued claims by age,Under 20,7391
08/15/2020,Continued claims by age,Under 20,6854
08/22/2020,Continued claims by age,Under 20,5970
08/29/2020,Continued claims by age,Under 20,5345
09/05/2020,Continued claims by age,Under 20,4715
09/12/2020,Continued claims by age,Under 20,4233
09/19/2020,Continued claims by age,Under 20,3768
09/26/2020,Continued claims by age,Under 20,3326
10/03/2020,Continued claims by age,Under 20,3099
10/10/2020,Continued claims by age,Under 20,2850
10/17/2020,Continued claims by age,Under 20,2669
10/24/2020,Continued claims by age,Under 20,2488
10/31/2020,Continued claims by age,Under 20,2334
11/07/2020,Continued claims by age,Under 20,2188
11/14/2020,Continued claims by age,Under 20,2062
11/21/2020,Continued claims by age,Under 20,1997
11/28/2020,Continued claims by age,Under 20,1947
12/05/2020,Continued claims by age,Under 20,1958
12/12/2020,Continued claims by age,Under 20,2045
12/19/2020,Continued claims by age,Under 20,2103
12/26/2020,Continued claims by age,Under 20,2248
01/02/2021,Continued claims by age,Under 20,2451
01/09/2021,Continued claims by age,Under 20,2719
01/16/2021,Continued claims by age,Under 20,2938
01/23/2021,Continued claims by age,Under 20,3008
01/30/2021,Continued claims by age,Under 20,2974
02/06/2021,Continued claims by age,Under 20,2976
02/13/2021,Continued claims by age,Under 20,2900
02/20/2021,Continued claims by age,Under 20,2867
02/27/2021,Continued claims by age,Under 20,2807
03/06/2021,Continued claims by age,Under 20,2752
03/13/2021,Continued claims by age,Under 20,2727
03/20/2021,Continued claims by age,Under 20,2667
03/27/2021,Continued claims by age,Under 20,2575
04/03/2021,Continued claims by age,Under 20,2467
04/10/2021,Continued claims by age,Under 20,2432
04/17/2021,Continued claims by age,Under 20,2372
04/24/2021,Continued claims by age,Under 20,2328
05/01/2021,Continued claims by age,Under 20,2281
05/08/2021,Continued claims by age,Under 20,2177
05/15/2021,Continued claims by age,Under 20,2099
05/22/2021,Continued claims by age,Under 20,2003
05/29/2021,Continued claims by age,Under 20,1906
06/05/2021,Continued claims by age,Under 20,1802
06/12/2021,Continued claims by age,Under 20,1725
06/19/2021,Continued claims by age,Under 20,1627
06/26/2021,Continued claims by age,Under 20,1551
07/03/2021,Continued claims by age,Under 20,1459
07/10/2021,Continued claims by age,Under 20,1235
07/17/2021,Continued claims by age,Under 20,1104
07/24/2021,Continued claims by age,Under 20,1037
07/31/2021,Continued claims by age,Under 20,961
08/07/2021,Continued claims by age,Under 20,935
08/14/2021,Continued claims by age,Under 20,896
08/21/2021,Continued claims by age,Under 20,844
08/28/2021,Continued claims by age,Under 20,786
09/04/2021,Continued claims by age,Under 20,649
09/11/2021,Continued claims by age,Under 20,461
09/18/2021,Continued claims by age,Under 20,389
09/25/2021,Continued claims by age,Under 20,336
10/02/2021,Continued claims by age,Under 20,307
10/09/2021,Continued claims by age,Under 20,275
10/16/2021,Continued claims by age,Under 20,263
10/23/2021,Continued claims by age,Under 20,252
10/30/2021,Continued claims by age,Under 20,220
11/06/2021,Continued claims by age,Under 20,220
11/13/2021,Continued claims by age,Under 20,223
11/20/2021,Continued claims by age,Under 20,226
11/27/2021,Continued claims by age,Under 20,220
12/04/2021,Continued claims by age,Under 20,225
12/11/2021,Continued claims by age,Under 20,209
12/18/2021,Continued claims by age,Under 20,215
12/25/2021,Continued claims by age,Under 20,251
01/01/2022,Continued claims by age,Under 20,293
01/08/2022,Continued claims by age,Under 20,323
01/15/2022,Continued claims by age,Under 20,299
01/22/2022,Continued claims by age,Under 20,306
01/29/2022,Continued claims by age,Under 20,276
02/05/2022,Continued claims by age,Under 20,263
02/12/2022,Continued claims by age,Under 20,260
02/19/2022,Continued claims by age,Under 20,252
02/26/2022,Continued claims by age,Under 20,238
03/05/2022,Continued claims by age,Under 20,219
03/12/2022,Continued claims by age,Under 20,192
03/19/2022,Continued claims by age,Under 20,177
03/26/2022,Continued claims by age,Under 20,158
04/02/2022,Continued claims by age,Under 20,152
04/09/2022,Continued claims by age,Under 20,131
04/16/2022,Continued claims by age,Under 20,122
01/05/2019,Continued claims by age,20 to 29,7553
01/12/2019,Continued claims by age,20 to 29,7769
01/19/2019,Continued claims by age,20 to 29,7804
01/26/2019,Continued claims by age,20 to 29,7828
02/02/2019,Continued claims by age,20 to 29,7756
02/09/2019,Continued claims by age,20 to 29,7859
02/16/2019,Continued claims by age,20 to 29,7796
02/23/2019,Continued claims by age,20 to 29,7775
03/02/2019,Continued claims by age,20 to 29,7523
03/09/2019,Continued claims by age,20 to 29,7506
03/16/2019,Continued claims by age,20 to 29,7388
03/23/2019,Continued claims by age,20 to 29,6998
03/30/2019,Continued claims by age,20 to 29,6393
04/06/2019,Continued claims by age,20 to 29,5802
04/13/2019,Continued claims by age,20 to 29,5903
04/20/2019,Continued claims by age,20 to 29,6292
04/27/2019,Continued claims by age,20 to 29,5272
05/04/2019,Continued claims by age,20 to 29,5021
05/11/2019,Continued claims by age,20 to 29,4868
05/18/2019,Continued claims by age,20 to 29,4905
05/25/2019,Continued claims by age,20 to 29,4911
06/01/2019,Continued claims by age,20 to 29,4823
06/08/2019,Continued claims by age,20 to 29,4831
06/15/2019,Continued claims by age,20 to 29,4932
06/22/2019,Continued claims by age,20 to 29,5353
06/29/2019,Continued claims by age,20 to 29,5405
07/06/2019,Continued claims by age,20 to 29,5389
07/13/2019,Continued claims by age,20 to 29,5272
07/20/2019,Continued claims by age,20 to 29,5129
07/27/2019,Continued claims by age,20 to 29,5089
08/03/2019,Continued claims by age,20 to 29,5094
08/10/2019,Continued claims by age,20 to 29,5110
08/17/2019,Continued claims by age,20 to 29,5102
08/24/2019,Continued claims by age,20 to 29,4999
08/31/2019,Continued claims by age,20 to 29,4649
09/07/2019,Continued claims by age,20 to 29,4334
09/14/2019,Continued claims by age,20 to 29,4303
09/21/2019,Continued claims by age,20 to 29,4220
09/28/2019,Continued claims by age,20 to 29,4090
10/05/2019,Continued claims by age,20 to 29,4062
10/12/2019,Continued claims by age,20 to 29,4070
10/19/2019,Continued claims by age,20 to 29,4049
10/26/2019,Continued claims by age,20 to 29,4076
11/02/2019,Continued claims by age,20 to 29,4260
11/09/2019,Continued claims by age,20 to 29,4368
11/16/2019,Continued claims by age,20 to 29,4506
11/23/2019,Continued claims by age,20 to 29,4696
11/30/2019,Continued claims by age,20 to 29,4966
12/07/2019,Continued claims by age,20 to 29,5289
12/14/2019,Continued claims by age,20 to 29,5728
12/21/2019,Continued claims by age,20 to 29,6495
12/28/2019,Continued claims by age,20 to 29,7635
01/04/2020,Continued claims by age,20 to 29,7705
01/11/2020,Continued claims by age,20 to 29,7481
01/18/2020,Continued claims by age,20 to 29,7523
01/25/2020,Continued claims by age,20 to 29,7495
02/01/2020,Continued claims by age,20 to 29,7399
02/08/2020,Continued claims by age,20 to 29,7395
02/15/2020,Continued claims by age,20 to 29,7402
02/22/2020,Continued claims by age,20 to 29,7303
02/29/2020,Continued claims by age,20 to 29,7124
03/07/2020,Continued claims by age,20 to 29,7068
03/14/2020,Continued claims by age,20 to 29,7992
03/21/2020,Continued claims by age,20 to 29,30796
03/28/2020,Continued claims by age,20 to 29,47631
04/04/2020,Continued claims by age,20 to 29,59480
04/11/2020,Continued claims by age,20 to 29,67316
04/18/2020,Continued claims by age,20 to 29,71604
04/25/2020,Continued claims by age,20 to 29,72954
05/02/2020,Continued claims by age,20 to 29,75186
05/09/2020,Continued claims by age,20 to 29,73586
05/16/2020,Continued claims by age,20 to 29,72887
05/23/2020,Continued claims by age,20 to 29,72523
05/30/2020,Continued claims by age,20 to 29,71336
06/06/2020,Continued claims by age,20 to 29,69462
06/13/2020,Continued claims by age,20 to 29,68479
06/20/2020,Continued claims by age,20 to 29,67488
06/27/2020,Continued claims by age,20 to 29,66972
07/04/2020,Continued claims by age,20 to 29,66288
07/11/2020,Continued claims by age,20 to 29,67008
07/18/2020,Continued claims by age,20 to 29,65681
07/25/2020,Continued claims by age,20 to 29,64329
08/01/2020,Continued claims by age,20 to 29,60817
08/08/2020,Continued claims by age,20 to 29,57761
08/15/2020,Continued claims by age,20 to 29,55469
08/22/2020,Continued claims by age,20 to 29,52428
08/29/2020,Continued claims by age,20 to 29,49831
09/05/2020,Continued claims by age,20 to 29,47000
09/12/2020,Continued claims by age,20 to 29,44993
09/19/2020,Continued claims by age,20 to 29,42420
09/26/2020,Continued claims by age,20 to 29,39859
10/03/2020,Continued claims by age,20 to 29,37738
10/10/2020,Continued claims by age,20 to 29,36331
10/17/2020,Continued claims by age,20 to 29,34975
10/24/2020,Continued claims by age,20 to 29,33970
10/31/2020,Continued claims by age,20 to 29,32840
11/07/2020,Continued claims by age,20 to 29,31843
11/14/2020,Continued claims by age,20 to 29,30990
11/21/2020,Continued claims by age,20 to 29,30457
11/28/2020,Continued claims by age,20 to 29,30131
12/05/2020,Continued claims by age,20 to 29,30347
12/12/2020,Continued claims by age,20 to 29,30686
12/19/2020,Continued claims by age,20 to 29,30630
12/26/2020,Continued claims by age,20 to 29,31520
01/02/2021,Continued claims by age,20 to 29,33290
01/09/2021,Continued claims by age,20 to 29,35077
01/16/2021,Continued claims by age,20 to 29,36131
01/23/2021,Continued claims by age,20 to 29,36529
01/30/2021,Continued claims by age,20 to 29,36886
02/06/2021,Continued claims by age,20 to 29,36906
02/13/2021,Continued claims by age,20 to 29,36635
02/20/2021,Continued claims by age,20 to 29,36576
02/27/2021,Continued claims by age,20 to 29,36135
03/06/2021,Continued claims by age,20 to 29,35679
03/13/2021,Continued claims by age,20 to 29,35165
03/20/2021,Continued claims by age,20 to 29,34226
03/27/2021,Continued claims by age,20 to 29,33393
04/03/2021,Continued claims by age,20 to 29,32631
04/10/2021,Continued claims by age,20 to 29,32404
04/17/2021,Continued claims by age,20 to 29,32031
04/24/2021,Continued claims by age,20 to 29,31322
05/01/2021,Continued claims by age,20 to 29,30816
05/08/2021,Continued claims by age,20 to 29,30330
05/15/2021,Continued claims by age,20 to 29,29896
05/22/2021,Continued claims by age,20 to 29,29416
05/29/2021,Continued claims by age,20 to 29,28597
06/05/2021,Continued claims by age,20 to 29,27641
06/12/2021,Continued claims by age,20 to 29,27007
06/19/2021,Continued claims by age,20 to 29,26668
06/26/2021,Continued claims by age,20 to 29,26327
07/03/2021,Continued claims by age,20 to 29,25440
07/10/2021,Continued claims by age,20 to 29,22723
07/17/2021,Continued claims by age,20 to 29,21301
07/24/2021,Continued claims by age,20 to 29,20377
07/31/2021,Continued claims by age,20 to 29,19844
08/07/2021,Continued claims by age,20 to 29,19509
08/14/2021,Continued claims by age,20 to 29,19161
08/21/2021,Continued claims by age,20 to 29,18622
08/28/2021,Continued claims by age,20 to 29,17867
09/04/2021,Continued claims by age,20 to 29,16330
09/11/2021,Continued claims by age,20 to 29,12127
09/18/2021,Continued claims by age,20 to 29,10378
09/25/2021,Continued claims by age,20 to 29,9692
10/02/2021,Continued claims by age,20 to 29,9136
10/09/2021,Continued claims by age,20 to 29,8736
10/16/2021,Continued claims by age,20 to 29,8416
10/23/2021,Continued claims by age,20 to 29,8016
10/30/2021,Continued claims by age,20 to 29,7789
11/06/2021,Continued claims by age,20 to 29,7644
11/13/2021,Continued claims by age,20 to 29,7409
11/20/2021,Continued claims by age,20 to 29,7288
11/27/2021,Continued claims by age,20 to 29,7256
12/04/2021,Continued claims by age,20 to 29,7186
12/11/2021,Continued claims by age,20 to 29,5528
12/18/2021,Continued claims by age,20 to 29,5624
12/25/2021,Continued claims by age,20 to 29,6136
01/01/2022,Continued claims by age,20 to 29,6667
01/08/2022,Continued claims by age,20 to 29,6567
01/15/2022,Continued claims by age,20 to 29,5878
01/22/2022,Continued claims by age,20 to 29,5816
01/29/2022,Continued claims by age,20 to 29,5813
02/05/2022,Continued claims by age,20 to 29,5771
02/12/2022,Continued claims by age,20 to 29,5566
02/19/2022,Continued claims by age,20 to 29,5464
02/26/2022,Continued claims by age,20 to 29,5378
03/05/2022,Continued claims by age,20 to 29,5116
03/12/2022,Continued claims by age,20 to 29,4794
03/19/2022,Continued claims by age,20 to 29,4442
03/26/2022,Continued claims by age,20 to 29,4066
04/02/2022,Continued claims by age,20 to 29,3760
04/09/2022,Continued claims by age,20 to 29,3442
04/16/2022,Continued claims by age,20 to 29,3275
01/05/2019,Continued claims by age,30 to 39,10084
01/12/2019,Continued claims by age,30 to 39,9959
01/19/2019,Continued claims by age,30 to 39,9877
01/26/2019,Continued claims by age,30 to 39,9914
02/02/2019,Continued claims by age,30 to 39,9852
02/09/2019,Continued claims by age,30 to 39,9874
02/16/2019,Continued claims by age,30 to 39,9954
02/23/2019,Continued claims by age,30 to 39,9908
03/02/2019,Continued claims by age,30 to 39,9608
03/09/2019,Continued claims by age,30 to 39,9526
03/16/2019,Continued claims by age,30 to 39,9406
03/23/2019,Continued claims by age,30 to 39,8974
03/30/2019,Continued claims by age,30 to 39,8298
04/06/2019,Continued claims by age,30 to 39,7776
04/13/2019,Continued claims by age,30 to 39,8058
04/20/2019,Continued claims by age,30 to 39,8508
04/27/2019,Continued claims by age,30 to 39,7016
05/04/2019,Continued claims by age,30 to 39,6761
05/11/2019,Continued claims by age,30 to 39,6610
05/18/2019,Continued claims by age,30 to 39,6657
05/25/2019,Continued claims by age,30 to 39,6699
06/01/2019,Continued claims by age,30 to 39,6636
06/08/2019,Continued claims by age,30 to 39,6612
06/15/2019,Continued claims by age,30 to 39,6783
06/22/2019,Continued claims by age,30 to 39,7881
06/29/2019,Continued claims by age,30 to 39,8118
07/06/2019,Continued claims by age,30 to 39,8265
07/13/2019,Continued claims by age,30 to 39,7986
07/20/2019,Continued claims by age,30 to 39,7852
07/27/2019,Continued claims by age,30 to 39,7812
08/03/2019,Continued claims by age,30 to 39,7902
08/10/2019,Continued claims by age,30 to 39,8037
08/17/2019,Continued claims by age,30 to 39,8033
08/24/2019,Continued claims by age,30 to 39,7756
08/31/2019,Continued claims by age,30 to 39,6972
09/07/2019,Continued claims by age,30 to 39,6263
09/14/2019,Continued claims by age,30 to 39,6168
09/21/2019,Continued claims by age,30 to 39,6031
09/28/2019,Continued claims by age,30 to 39,5909
10/05/2019,Continued claims by age,30 to 39,5889
10/12/2019,Continued claims by age,30 to 39,6059
10/19/2019,Continued claims by age,30 to 39,6031
10/26/2019,Continued claims by age,30 to 39,6049
11/02/2019,Continued claims by age,30 to 39,6193
11/09/2019,Continued claims by age,30 to 39,6323
11/16/2019,Continued claims by age,30 to 39,6489
11/23/2019,Continued claims by age,30 to 39,6682
11/30/2019,Continued claims by age,30 to 39,7122
12/07/2019,Continued claims by age,30 to 39,7485
12/14/2019,Continued claims by age,30 to 39,7933
12/21/2019,Continued claims by age,30 to 39,9207
12/28/2019,Continued claims by age,30 to 39,11119
01/04/2020,Continued claims by age,30 to 39,10944
01/11/2020,Continued claims by age,30 to 39,9917
01/18/2020,Continued claims by age,30 to 39,9845
01/25/2020,Continued claims by age,30 to 39,9843
02/01/2020,Continued claims by age,30 to 39,9720
02/08/2020,Continued claims by age,30 to 39,9799
02/15/2020,Continued claims by age,30 to 39,9847
02/22/2020,Continued claims by age,30 to 39,9825
02/29/2020,Continued claims by age,30 to 39,9573
03/07/2020,Continued claims by age,30 to 39,9464
03/14/2020,Continued claims by age,30 to 39,10764
03/21/2020,Continued claims by age,30 to 39,29458
03/28/2020,Continued claims by age,30 to 39,43492
04/04/2020,Continued claims by age,30 to 39,55012
04/11/2020,Continued claims by age,30 to 39,61369
04/18/2020,Continued claims by age,30 to 39,64625
04/25/2020,Continued claims by age,30 to 39,65502
05/02/2020,Continued claims by age,30 to 39,66812
05/09/2020,Continued claims by age,30 to 39,64779
05/16/2020,Continued claims by age,30 to 39,62877
05/23/2020,Continued claims by age,30 to 39,61952
05/30/2020,Continued claims by age,30 to 39,60632
06/06/2020,Continued claims by age,30 to 39,58803
06/13/2020,Continued claims by age,30 to 39,58092
06/20/2020,Continued claims by age,30 to 39,57464
06/27/2020,Continued claims by age,30 to 39,57489
07/04/2020,Continued claims by age,30 to 39,56734
07/11/2020,Continued claims by age,30 to 39,57396
07/18/2020,Continued claims by age,30 to 39,56365
07/25/2020,Continued claims by age,30 to 39,55638
08/01/2020,Continued claims by age,30 to 39,53252
08/08/2020,Continued claims by age,30 to 39,51225
08/15/2020,Continued claims by age,30 to 39,49736
08/22/2020,Continued claims by age,30 to 39,47970
08/29/2020,Continued claims by age,30 to 39,46566
09/05/2020,Continued claims by age,30 to 39,44665
09/12/2020,Continued claims by age,30 to 39,43134
09/19/2020,Continued claims by age,30 to 39,41138
09/26/2020,Continued claims by age,30 to 39,39499
10/03/2020,Continued claims by age,30 to 39,38057
10/10/2020,Continued claims by age,30 to 39,37167
10/17/2020,Continued claims by age,30 to 39,36331
10/24/2020,Continued claims by age,30 to 39,35574
10/31/2020,Continued claims by age,30 to 39,34963
11/07/2020,Continued claims by age,30 to 39,34434
11/14/2020,Continued claims by age,30 to 39,33884
11/21/2020,Continued claims by age,30 to 39,33460
11/28/2020,Continued claims by age,30 to 39,33449
12/05/2020,Continued claims by age,30 to 39,33882
12/12/2020,Continued claims by age,30 to 39,34200
12/19/2020,Continued claims by age,30 to 39,34214
12/26/2020,Continued claims by age,30 to 39,35240
01/02/2021,Continued claims by age,30 to 39,37287
01/09/2021,Continued claims by age,30 to 39,38221
01/16/2021,Continued claims by age,30 to 39,38828
01/23/2021,Continued claims by age,30 to 39,38883
01/30/2021,Continued claims by age,30 to 39,39271
02/06/2021,Continued claims by age,30 to 39,39563
02/13/2021,Continued claims by age,30 to 39,39516
02/20/2021,Continued claims by age,30 to 39,39698
02/27/2021,Continued claims by age,30 to 39,39186
03/06/2021,Continued claims by age,30 to 39,38799
03/13/2021,Continued claims by age,30 to 39,38246
03/20/2021,Continued claims by age,30 to 39,37201
03/27/2021,Continued claims by age,30 to 39,36264
04/03/2021,Continued claims by age,30 to 39,35610
04/10/2021,Continued claims by age,30 to 39,35749
04/17/2021,Continued claims by age,30 to 39,35627
04/24/2021,Continued claims by age,30 to 39,34487
05/01/2021,Continued claims by age,30 to 39,33961
05/08/2021,Continued claims by age,30 to 39,33486
05/15/2021,Continued claims by age,30 to 39,33207
05/22/2021,Continued claims by age,30 to 39,32923
05/29/2021,Continued claims by age,30 to 39,32390
06/05/2021,Continued claims by age,30 to 39,31669
06/12/2021,Continued claims by age,30 to 39,31268
06/19/2021,Continued claims by age,30 to 39,31493
06/26/2021,Continued claims by age,30 to 39,31610
07/03/2021,Continued claims by age,30 to 39,30923
07/10/2021,Continued claims by age,30 to 39,28553
07/17/2021,Continued claims by age,30 to 39,27228
07/24/2021,Continued claims by age,30 to 39,26392
07/31/2021,Continued claims by age,30 to 39,25950
08/07/2021,Continued claims by age,30 to 39,25610
08/14/2021,Continued claims by age,30 to 39,25239
08/21/2021,Continued claims by age,30 to 39,24801
08/28/2021,Continued claims by age,30 to 39,23961
09/04/2021,Continued claims by age,30 to 39,21996
09/11/2021,Continued claims by age,30 to 39,16473
09/18/2021,Continued claims by age,30 to 39,13760
09/25/2021,Continued claims by age,30 to 39,13080
10/02/2021,Continued claims by age,30 to 39,12521
10/09/2021,Continued claims by age,30 to 39,12176
10/16/2021,Continued claims by age,30 to 39,11731
10/23/2021,Continued claims by age,30 to 39,11335
10/30/2021,Continued claims by age,30 to 39,11149
11/06/2021,Continued claims by age,30 to 39,11027
11/13/2021,Continued claims by age,30 to 39,10865
11/20/2021,Continued claims by age,30 to 39,10785
11/27/2021,Continued claims by age,30 to 39,10855
12/04/2021,Continued claims by age,30 to 39,10666
12/11/2021,Continued claims by age,30 to 39,7957
12/18/2021,Continued claims by age,30 to 39,8056
12/25/2021,Continued claims by age,30 to 39,9216
01/01/2022,Continued claims by age,30 to 39,10172
01/08/2022,Continued claims by age,30 to 39,9354
01/15/2022,Continued claims by age,30 to 39,7913
01/22/2022,Continued claims by age,30 to 39,7795
01/29/2022,Continued claims by age,30 to 39,7643
02/05/2022,Continued claims by age,30 to 39,7627
02/12/2022,Continued claims by age,30 to 39,7429
02/19/2022,Continued claims by age,30 to 39,7396
02/26/2022,Continued claims by age,30 to 39,7314
03/05/2022,Continued claims by age,30 to 39,6951
03/12/2022,Continued claims by age,30 to 39,6577
03/19/2022,Continued claims by age,30 to 39,6121
03/26/2022,Continued claims by age,30 to 39,5631
04/02/2022,Continued claims by age,30 to 39,5177
04/09/2022,Continued claims by age,30 to 39,4836
04/16/2022,Continued claims by age,30 to 39,4908
01/05/2019,Continued claims by age,40 to 49,9080
01/12/2019,Continued claims by age,40 to 49,8636
01/19/2019,Continued claims by age,40 to 49,8631
01/26/2019,Continued claims by age,40 to 49,8676
02/02/2019,Continued claims by age,40 to 49,8637
02/09/2019,Continued claims by age,40 to 49,8693
02/16/2019,Continued claims by age,40 to 49,8861
02/23/2019,Continued claims by age,40 to 49,8893
03/02/2019,Continued claims by age,40 to 49,8607
03/09/2019,Continued claims by age,40 to 49,8656
03/16/2019,Continued claims by age,40 to 49,8480
03/23/2019,Continued claims by age,40 to 49,8179
03/30/2019,Continued claims by age,40 to 49,7557
04/06/2019,Continued claims by age,40 to 49,7006
04/13/2019,Continued claims by age,40 to 49,7456
04/20/2019,Continued claims by age,40 to 49,8012
04/27/2019,Continued claims by age,40 to 49,6356
05/04/2019,Continued claims by age,40 to 49,6025
05/11/2019,Continued claims by age,40 to 49,5876
05/18/2019,Continued claims by age,40 to 49,5919
05/25/2019,Continued claims by age,40 to 49,5942
06/01/2019,Continued claims by age,40 to 49,5915
06/08/2019,Continued claims by age,40 to 49,5889
06/15/2019,Continued claims by age,40 to 49,6220
06/22/2019,Continued claims by age,40 to 49,7432
06/29/2019,Continued claims by age,40 to 49,7703
07/06/2019,Continued claims by age,40 to 49,7860
07/13/2019,Continued claims by age,40 to 49,7581
07/20/2019,Continued claims by age,40 to 49,7499
07/27/2019,Continued claims by age,40 to 49,7480
08/03/2019,Continued claims by age,40 to 49,7578
08/10/2019,Continued claims by age,40 to 49,7627
08/17/2019,Continued claims by age,40 to 49,7635
08/24/2019,Continued claims by age,40 to 49,7418
08/31/2019,Continued claims by age,40 to 49,6431
09/07/2019,Continued claims by age,40 to 49,5574
09/14/2019,Continued claims by age,40 to 49,5462
09/21/2019,Continued claims by age,40 to 49,5334
09/28/2019,Continued claims by age,40 to 49,5267
10/05/2019,Continued claims by age,40 to 49,5206
10/12/2019,Continued claims by age,40 to 49,5349
10/19/2019,Continued claims by age,40 to 49,5294
10/26/2019,Continued claims by age,40 to 49,5342
11/02/2019,Continued claims by age,40 to 49,5468
11/09/2019,Continued claims by age,40 to 49,5534
11/16/2019,Continued claims by age,40 to 49,5627
11/23/2019,Continued claims by age,40 to 49,5891
11/30/2019,Continued claims by age,40 to 49,6320
12/07/2019,Continued claims by age,40 to 49,6555
12/14/2019,Continued claims by age,40 to 49,6884
12/21/2019,Continued claims by age,40 to 49,8381
12/28/2019,Continued claims by age,40 to 49,10103
01/04/2020,Continued claims by age,40 to 49,9809
01/11/2020,Continued claims by age,40 to 49,8611
01/18/2020,Continued claims by age,40 to 49,8551
01/25/2020,Continued claims by age,40 to 49,8506
02/01/2020,Continued claims by age,40 to 49,8414
02/08/2020,Continued claims by age,40 to 49,8478
02/15/2020,Continued claims by age,40 to 49,8599
02/22/2020,Continued claims by age,40 to 49,8564
02/29/2020,Continued claims by age,40 to 49,8268
03/07/2020,Continued claims by age,40 to 49,8208
03/14/2020,Continued claims by age,40 to 49,9395
03/21/2020,Continued claims by age,40 to 49,23646
03/28/2020,Continued claims by age,40 to 49,34995
04/04/2020,Continued claims by age,40 to 49,45063
04/11/2020,Continued claims by age,40 to 49,50709
04/18/2020,Continued claims by age,40 to 49,53359
04/25/2020,Continued claims by age,40 to 49,53855
05/02/2020,Continued claims by age,40 to 49,54633
05/09/2020,Continued claims by age,40 to 49,52822
05/16/2020,Continued claims by age,40 to 49,50836
05/23/2020,Continued claims by age,40 to 49,49744
05/30/2020,Continued claims by age,40 to 49,48415
06/06/2020,Continued claims by age,40 to 49,46571
06/13/2020,Continued claims by age,40 to 49,45473
06/20/2020,Continued claims by age,40 to 49,44981
